LegalDocument_ID,legal_document
1,Không có giấy tờ pháp lý
2,Đã có sổ
3,Sổ hồng riêng
4,Hợp đồng mua bán
5,Giấy tờ viết tay
6,Sổ chung / công chứng vi bằng
7,Đang chờ sổ
8,Giấy tờ khác
9,Hợp đồng đặt cọc
10,1
11,Không có sổ
